,qber,final error rate,error estimate,initial key length,key length after sifting,key length after err est,key length after err corr
76,0.02,0.0031259768677711786,0.009943714821763603,10000,4941,3929,3199
77,0.03,0.004549590536851683,0.01904877653540755,10000,4933,3939,2198
78,0.04,0.004507888805409466,0.023938678310761012,10000,4951,3946,2662
79,0.05,0.006751054852320675,0.0384636348417188,10000,4998,3984,2370
80,0.060000000000000005,0.011917659804983749,0.03255655624501547,10000,4972,3958,923
81,0.06999999999999999,0.010387157695939566,0.05148325880684917,10000,5066,4017,2118
82,0.08,0.011764705882352941,0.0407655093910074,10000,5084,4078,680
83,0.09,0.007984031936127744,0.06902700474129045,10000,4997,4012,501
84,0.09999999999999999,0.022044088176352707,0.07440711462450593,10000,4960,3994,998
85,0.11,0.022,0.08091050583657589,10000,5015,4001,2000
86,0.12,0.018108651911468814,0.053782952873383694,10000,4965,3978,994
87,0.13,0.027833001988071572,0.08165983606557377,10000,4994,4026,1006
88,0.14,0.02434077079107505,0.10648937196514133,10000,4943,3945,1972
89,0.15000000000000002,0.012572533849129593,0.0976845601818957,10000,5087,4137,2068
90,0.01,0.0021718895439031957,0.010027101370485472,10000,4943,3950,3223
91,0.02,0.005013368983957219,0.015367824907085128,10000,5019,3977,2992
92,0.03,0.0061061531235321745,0.02506159173161286,10000,4953,3917,2129
93,0.04,0.004008016032064128,0.024851326892790824,10000,5102,4091,1996
94,0.05,0.009259259259259259,0.038765498611385125,10000,5004,3977,1404
95,0.060000000000000005,0.006647278770253427,0.03642324399639374,10000,5038,4050,2407
96,0.06999999999999999,0.01949317738791423,0.05765722653054546,10000,4955,3966,1026
97,0.08,0.015122873345935728,0.05632411067193676,10000,5071,4081,529
98,0.09,0.0,0.056005600560056004,10000,4968,3968,15
99,0.09999999999999999,0.017293997965412006,0.059298260756980706,10000,4944,3934,983
100,0.11,0.022343594836146972,0.06979292947846638,10000,5019,4029,2014
101,0.12,0.03219315895372234,0.08405682241195048,10000,4978,3978,994
102,0.13,0.02367758186397985,0.08622852052418126,10000,4984,3971,1985
103,0.14,0.019675356615838663,0.09063136456211812,10000,5049,4067,2033
104,0.15000000000000002,0.023809523809523808,0.08459513730598067,10000,4990,4048,126
105,0.01,0.0011799410029498525,0.005118948988045923,10000,5021,4048,3390
106,0.02,0.003608805485384338,0.011924942804377187,10000,5020,3942,2771
107,0.03,0.003808864265927978,0.014484085708342,10000,4980,4018,2888
108,0.04,0.0034502587694077054,0.02461082556623958,10000,4984,3995,1739
109,0.05,0.005449591280653951,0.03578390301455124,10000,5039,4071,1468
110,0.060000000000000005,0.013235294117647059,0.03534328842720337,10000,4978,3985,680
111,0.06999999999999999,0.008011310084825637,0.04157826015994777,10000,5015,3952,2122
112,0.08,0.015259409969481181,0.051870338496844526,10000,4957,3934,983
113,0.09,0.010810810810810811,0.066046126479789,10000,5011,3987,2035
114,0.09999999999999999,0.014997581035316884,0.06208552567200355,10000,5110,4079,2067
115,0.11,0.018,0.07925912880122109,10000,5013,4002,1000
116,0.12,0.02185792349726776,0.08523615687794792,10000,4991,4027,2013
117,0.13,0.02014098690835851,0.07642512892927308,10000,4994,3973,1986
118,0.14,0.017578125,0.09788531720241964,10000,5077,4097,2048
119,0.15000000000000002,0.014227642276422764,0.08149893660957938,10000,4958,3940,492
120,0.01,0.002376002376002376,0.008866234167438987,10000,4998,3980,3367
121,0.02,0.0016144656118824668,0.00965627247757367,10000,4997,3961,3097
122,0.03,0.007518796992481203,0.03150212810131838,10000,5063,4081,2128
123,0.04,0.0031067961165048546,0.023135159207303496,10000,4957,3963,2575
124,0.05,0.011276499774470004,0.04004306522103884,10000,5047,4046,2217
125,0.060000000000000005,0.008533747090768037,0.029428534005193043,10000,4957,3938,1289
126,0.06999999999999999,0.009683098591549295,0.057843782084188916,10000,5000,4001,1136
127,0.08,0.018518518518518517,0.0669400638912834,10000,4970,3997,1998
128,0.09,0.015873015873015872,0.05742854129311254,10000,5007,4033,2016
129,0.09999999999999999,0.010978043912175649,0.05867883273063662,10000,5032,4009,2004
130,0.11,0.027135678391959798,0.07430021846071636,10000,4991,3982,995
131,0.12,0.024036054081121683,0.09972227308795703,10000,5019,3995,1997
132,0.13,0.02631578947368421,0.08508869179600886,10000,4963,3954,988
133,0.14,0.02445236882322975,0.09142246642246642,10000,4878,3927,1963
134,0.15000000000000002,0.024209486166007904,0.09608273351243685,10000,5003,4049,2024
135,0.01,0.0028230865746549563,0.004916810097532989,10000,5022,3999,3188
136,0.02,0.005305039787798408,0.006960347586033817,10000,5013,4003,3016
137,0.03,0.0016806722689075631,0.016798557236361374,10000,5017,4002,2380
138,0.04,0.008588957055214725,0.028988190592724374,10000,4958,3961,2445
139,0.05,0.004594820384294068,0.025820525922723166,10000,4959,3950,2394
140,0.060000000000000005,0.00784313725490196,0.046052104208416836,10000,5055,4106,1020
141,0.06999999999999999,0.0111635895234006,0.05235314499159138,10000,4953,3980,2329
142,0.08,0.009228187919463088,0.04538736103904272,10000,5030,4021,1192
143,0.09,0.019474196689386564,0.07044973190076059,10000,4943,3951,1027
144,0.09999999999999999,0.007797270955165692,0.06726602542134083,10000,4992,3967,513
145,0.11,0.0206341217916457,0.08106119029630181,10000,4989,3975,1987
146,0.12,0.022840119165839126,0.07866308463125439,10000,5058,4029,2014
147,0.13,0.020236920039486673,0.08260233918128654,10000,5058,4053,2026
148,0.14,0.017769002961500493,0.09945170219142821,10000,5009,4054,1013
149,0.15000000000000002,0.02606516290726817,0.0952073930797335,10000,5003,3991,1995
150,0.01,0.001068090787716956,0.0030763021777089577,10000,5029,4043,3745
151,0.02,0.0058997050147492625,0.0185863227170429,10000,4979,4010,2373
152,0.03,0.002824858757062147,0.013391056664650132,10000,5016,4039,2832
153,0.04,0.009640102827763496,0.037148594377510044,10000,4997,4001,1556
154,0.05,0.003869969040247678,0.03890051320916363,10000,5037,4050,1292
155,0.060000000000000005,0.006696428571428571,0.031477709889115184,10000,4936,3950,1344
156,0.06999999999999999,0.00676328502415459,0.043861006925839933,10000,5146,4142,1035
157,0.08,0.017134697762970014,0.058150214045268135,10000,5065,4032,2101
158,0.09,0.008064516129032258,0.06553346424480445,10000,4961,3972,496
159,0.09999999999999999,0.013712047012732615,0.057847969128355194,10000,4931,3964,1021
160,0.11,0.017085427135678392,0.06807799258474576,10000,5025,3982,995
161,0.12,0.01708150317227916,0.0791095524239249,10000,5067,4099,2049
162,0.13,0.022022022022022022,0.07345394845394845,10000,4983,3997,1998
163,0.14,0.03187250996015936,0.09653399306313518,10000,5013,4018,1004
164,0.15000000000000002,0.01639344262295082,0.10022161408928362,10000,4913,3936,61
165,0.01,0.0005777007510109763,0.005821651090342679,10000,5058,4043,3462
166,0.02,0.0013513513513513514,0.013142857142857144,10000,4996,4006,2960
167,0.03,0.004541701073492981,0.02114127861677658,10000,5067,4031,2422
168,0.04,0.0035285815102328866,0.02282167479220807,10000,5064,4098,2834
169,0.05,0.009628610729023384,0.026620082171314743,10000,4914,3900,1454
170,0.060000000000000005,0.013460015835312747,0.04236294852156153,10000,4898,3881,1263
171,0.06999999999999999,0.010953902327704245,0.04732962347329624,10000,4978,3925,2191
172,0.08,0.012303149606299213,0.057359483558298466,10000,4971,3943,2032
173,0.09,0.011846001974333662,0.05897618325596585,10000,4980,3965,2026
174,0.09999999999999999,0.02528507684680218,0.07586267297249956,10000,5049,4035,2017
175,0.11,0.022022022022022022,0.07237266279819471,10000,4963,3998,999
176,0.12,0.019250253292806486,0.08213355272178802,10000,5005,3950,987
177,0.13,0.027888446215139442,0.08184289045887921,10000,4986,4020,502
178,0.14,0.02695956065901148,0.09863918266841024,10000,5032,4007,2003
179,0.15000000000000002,0.028112449799196786,0.09772553987163299,10000,4988,3992,249
180,0.01,0.001941747572815534,0.009639959582751344,10000,5047,4009,3090
181,0.02,0.0013020833333333333,0.007358037856571581,10000,4959,4010,3072
182,0.03,0.004087193460490463,0.018786614892158153,10000,5159,4097,2202
183,0.04,0.003661662394727206,0.028405267711237144,10000,4926,3906,2731
184,0.05,0.005158437730287398,0.02698804954444052,10000,5031,3998,1357
185,0.060000000000000005,0.009230769230769232,0.03793083311434518,10000,4860,3880,650
